id,source,rating,theme,purchase_intent,barrier,user_need,behavior,sentiment,evidence
3a2cfbbb-e521-488c-850a-200f54a33edb,play_store,1,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Negative,"Very disappointed with the return process. I requested a return over a week ago, and the expected pickup date has already passed with no update. No one has come to collect the item, and my refund is still stuck because of this delay. Such slow and unresponsive service makes it hard to trust shopping here again. Please fix this and process my return/refund immediately."
d4df34a4-a4c4-4db8-b0ef-7c9460019b64,play_store,5,Quality/Trust,High,Quality doubts,Verified reviews with photos,Unknown,Positive,"Great collection, excellent product quality, and fast delivery. The app is easy to use, and the products are exactly as shown. Definitely recommended for a smooth and reliable online shopping experience!"
dd237855-06dd-47cd-b353-49f4171432cc,play_store,1,Other,Unknown,None,None,Purchased,Negative,"I am extremely disappointed with your service. I placed an order 10 days ago, and the item has still not been delivered. Additionally, your support team promised a refund within 20 minutes, but I have not received it yet. Kindly update me on the status of my refund immediately.💔😭"
3aad17aa-d966-464a-a602-b08a10d1671a,play_store,1,Styling/Occasion,Unknown,None,None,Purchased,Negative,"worst app!!! i ordered an outfit from it ( 30 mins ) and it was showing 89 mins fir the outfit to be delivered, but when u checked again it was showing already delivered but i haven't received it and neither the delivery person called me plus I have paid online ( ₹511 ) for that order , now tell me where the hell is my order? I want full refund now, please take some actions on this I have already emailed, please do something either deliver my order or gave me full refund!!!"
3f8a248f-96c4-4854-b255-718074af8d2b,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,nice aap...nice collection... approximately order nd price is genuine...
7205785f-3f91-48e2-8cbb-bbe647bd2164,play_store,1,Styling/Occasion,Unknown,None,None,Unknown,Negative,"For starters, it took so long to process my order; when I checked, I was told it would arrive on the 27th, but then it was suddenly cancelled. I couldn't wear the clothes for the occasion I had planned for, and I’m really unhappy with my experience with Myntra this time."
90f1f530-0a78-4fff-86b9-38ed00173a63,play_store,1,Other,Unknown,None,None,Unknown,Negative,my order got cancelled without proper refund
d271794e-a715-457e-b899-b9f53f7808ec,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,best quality product .
fec3c530-476f-49e5-99a4-09962bab6d7a,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,one of excellent all fashion essentials at one place with genuine quality.
6099f622-7bfa-4aaf-81a2-76afcdc1a051,play_store,5,Styling/Occasion,Unknown,None,None,Unknown,Positive,great shopping app for branded outfit and fashion
ed55be18-0a04-420f-8621-08206d80fb8e,play_store,5,Fit/Size,Unknown,Fit/Size uncertainty,Clearer size guides or AR try-on,Unknown,Positive,It is a good service but size confusion in XL and XXL Roadstar brand.so i am exchange this item. Myntra gives well brand and good service as per my opinion.
2942ff84-8adb-43ad-b02d-02ed8e58f94f,play_store,2,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Negative,"what's wrong with myntra previously on returning a product myntra used to cut the 20rs platform charges that's understandable even though there are many apps giving all the money back without charging a penny for returning. Now it's almost charging 50rs. that's unfair... even if we'll exchange the product, we're paying the price..."
babd5b51-5f09-42f5-abb3-ba4c2eda5b3b,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,good easy interface easy to look offer
d193433b-d705-4671-852e-2edae01f2d4e,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,good for fashion and 👗👕 quality is very good 👍 and price also good thank you myntra🫂🥰
67ac471c-a681-47ba-8754-7df4e737c9c9,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,Their sales offer genuine discounts on high-end brands that are hard to find at those prices anywhere else.
